NDVI,AQI,Soil_Moisture,Land_Temp,Date,Coordinates,Custom_Index,X,Y,Row_Index
0.089754626,98.845894,0.045107383,285.278,2024-06-01,"625885.0, 5804045.0",52.6942505338558,625885.0,5804045.0,10247
0.11704511,98.845894,0.045107383,285.278,2024-06-01,"625895.0, 5804045.0",55.58633557365437,625895.0,5804045.0,10248
0.15536118,98.845894,0.08762866,285.278,2024-06-01,"625905.0, 5804045.0",59.72201773086613,625905.0,5804045.0,10249
0.17136344,98.845894,0.08762866,285.278,2024-06-01,"625915.0, 5804045.0",61.41784316030765,625915.0,5804045.0,10250
0.17259744,98.845894,0.103674844,285.278,2024-06-01,"625925.0, 5804045.0",61.57698213121258,625925.0,5804045.0,10251
0.19871038,98.845894,0.103674844,285.278,2024-06-01,"625935.0, 5804045.0",64.34427798126632,625935.0,5804045.0,10252
0.19073509,98.845894,0.087668344,285.278,2024-06-01,"625945.0, 5804045.0",63.47080688612388,625945.0,5804045.0,10253
0.24343681,98.845894,0.087668344,285.278,2024-06-01,"625955.0, 5804045.0",69.05582531172796,625955.0,5804045.0,10254
0.2940751,98.845894,0.1077093,285.278,2024-06-01,"625965.0, 5804045.0",74.45760253708428,625965.0,5804045.0,10255
0.20998198,98.845894,0.1077093,285.278,2024-06-01,"625975.0, 5804045.0",65.54590810535541,625975.0,5804045.0,10256
0.27766997,98.845894,0.12830876,285.278,2024-06-01,"625985.0, 5804045.0",72.75549963238157,625985.0,5804045.0,10257
0.31780174,98.845894,0.12830876,285.278,2024-06-01,"625995.0, 5804045.0",77.00842866206229,625995.0,5804045.0,10258
0.20800766,98.845894,0.072466455,285.278,2024-06-01,"626005.0, 5804045.0",65.27437796337587,626005.0,5804045.0,10259
0.13254331,98.845894,0.072466455,285.278,2024-06-01,"626015.0, 5804045.0",57.27710984335559,626015.0,5804045.0,10260
0.16656692,98.845894,0.05770132,285.278,2024-06-01,"626025.0, 5804045.0",60.85662975829371,626025.0,5804045.0,10261
0.1722613,98.845894,0.05770132,285.278,2024-06-01,"626035.0, 5804045.0",61.46008667056131,626035.0,5804045.0,10262
0.1428776,98.845894,0.025199512,285.278,2024-06-01,"625455.0, 5804035.0",58.28871727390459,625455.0,5804035.0,10263
0.15750927,98.845894,0.031547744,285.278,2024-06-01,"625465.0, 5804035.0",59.85051822089797,625465.0,5804035.0,10264
0.17000112,98.845894,0.031547744,285.278,2024-06-01,"625475.0, 5804035.0",61.17433103801063,625475.0,5804035.0,10265
0.18976387,98.845894,0.025131125,285.278,2024-06-01,"625485.0, 5804035.0",63.2573276039645,625485.0,5804035.0,10266
0.1851382,98.845894,0.025131125,285.278,2024-06-01,"625495.0, 5804035.0",62.767126294011724,625495.0,5804035.0,10267
0.18191443,98.845894,0.029350316,285.278,2024-06-01,"625505.0, 5804035.0",62.43294891094633,625505.0,5804035.0,10268
0.16980429,98.845894,0.029350316,285.278,2024-06-01,"625515.0, 5804035.0",61.14958747536804,625515.0,5804035.0,10269
0.154857,98.845894,0.023068411,285.278,2024-06-01,"625525.0, 5804035.0",59.5544562312447,625525.0,5804035.0,10270
