NDVI,AQI,Soil_Moisture,Land_Temp,Date,Coordinates,Custom_Index,X,Y,Row_Index
0.175036,111.44685,0.052031007,271.22003,2024-04-01,"625525.0, 5806015.0",30.190307428804164,625525.0,5806015.0,39180
0.15841472,111.44685,0.052031007,271.22003,2024-04-01,"625535.0, 5806015.0",28.497994569081634,625535.0,5806015.0,39181
0.25732592,111.44685,0.04078052,271.22003,2024-04-01,"625545.0, 5806015.0",38.48651905425204,625545.0,5806015.0,39182
0.27703026,111.44685,0.04078052,271.22003,2024-04-01,"625555.0, 5806015.0",40.492736865055114,625555.0,5806015.0,39183
0.24796611,111.44685,0.04762385,271.22003,2024-04-01,"625565.0, 5806015.0",37.58355338999047,625565.0,5806015.0,39184
0.2561177,111.44685,0.04762385,271.22003,2024-04-01,"625575.0, 5806015.0",38.413515979164444,625575.0,5806015.0,39185
0.24138053,111.44685,0.071414635,271.22003,2024-04-01,"625585.0, 5806015.0",37.086905887034675,625585.0,5806015.0,39186
0.16895565,111.44685,0.071414635,271.22003,2024-04-01,"625595.0, 5806015.0",29.71289162412226,625595.0,5806015.0,39187
0.1275099,111.44685,0.09256391,271.22003,2024-04-01,"625605.0, 5806015.0",25.647614818984785,625605.0,5806015.0,39188
0.11400298,111.44685,0.09256391,271.22003,2024-04-01,"625615.0, 5806015.0",24.272393752301376,625615.0,5806015.0,39189
0.12970905,111.44685,0.19983365,271.22003,2024-04-01,"625625.0, 5806015.0",26.65548281761787,625625.0,5806015.0,39190
0.12541187,111.44685,0.19983365,271.22003,2024-04-01,"625635.0, 5806015.0",26.217960979676242,625635.0,5806015.0,39191
0.1124613,111.44685,0.2453208,271.22003,2024-04-01,"625645.0, 5806015.0",25.23181892719856,625645.0,5806015.0,39192
0.128827,111.44685,0.2453208,271.22003,2024-04-01,"625655.0, 5806015.0",26.8981096441807,625655.0,5806015.0,39193
0.122525774,111.44685,0.17043796,271.22003,2024-04-01,"625665.0, 5806015.0",25.7092776506128,625665.0,5806015.0,39194
0.117711194,111.44685,0.17043796,271.22003,2024-04-01,"625675.0, 5806015.0",25.21907619511943,625675.0,5806015.0,39195
0.16243757,111.44685,0.10940633,271.22003,2024-04-01,"625685.0, 5806015.0",29.32690119038721,625685.0,5806015.0,39196
0.17444816,111.44685,0.10940633,271.22003,2024-04-01,"625695.0, 5806015.0",30.54977186640342,625695.0,5806015.0,39197
0.10192471,111.44685,0.054496437,271.22003,2024-04-01,"625705.0, 5806015.0",22.76442371785576,625705.0,5806015.0,39198
0.112610094,111.44685,0.054496437,271.22003,2024-04-01,"625715.0, 5806015.0",23.852367170723003,625715.0,5806015.0,39199
0.14745295,111.44685,0.10724764,271.22003,2024-04-01,"625725.0, 5806015.0",27.78545021530176,625725.0,5806015.0,39200
0.10547638,111.44685,0.10724764,271.22003,2024-04-01,"625735.0, 5806015.0",23.51156221040426,625735.0,5806015.0,39201
0.10826688,111.44685,0.16803424,271.22003,2024-04-01,"625745.0, 5806015.0",24.239926468468543,625745.0,5806015.0,39202
0.09558758,111.44685,0.16803424,271.22003,2024-04-01,"625755.0, 5806015.0",22.948970390339795,625755.0,5806015.0,39203
0.10788002,111.44685,0.047374826,271.22003,2024-04-01,"625765.0, 5806015.0",23.31872292353325,625765.0,5806015.0,39204
0.100086786,111.44685,0.047374826,271.22003,2024-04-01,"625775.0, 5806015.0",22.525246722119952,625775.0,5806015.0,39205
0.10219532,111.44685,0.021523418,271.22003,2024-04-01,"625785.0, 5806015.0",22.55099949620738,625785.0,5806015.0,39206
0.0876062,111.44685,0.021523418,271.22003,2024-04-01,"625795.0, 5806015.0",21.06559311426597,625795.0,5806015.0,39207
0.0905738,111.44685,0.034328457,271.22003,2024-04-01,"625805.0, 5806015.0",21.461325430748065,625805.0,5806015.0,39208
0.110575154,111.44685,0.034328457,271.22003,2024-04-01,"625815.0, 5806015.0",23.497784029969228,625815.0,5806015.0,39209
0.10722832,111.44685,0.035251986,271.22003,2024-04-01,"625825.0, 5806015.0",23.1637720809819,625825.0,5806015.0,39210
0.10901476,111.44685,0.035251986,271.22003,2024-04-01,"625835.0, 5806015.0",23.3456603221476,625835.0,5806015.0,39211
0.08950271,111.44685,0.028857958,271.22003,2024-04-01,"625845.0, 5806015.0",21.312291252999735,625845.0,5806015.0,39212
0.085470825,111.44685,0.028857958,271.22003,2024-04-01,"625855.0, 5806015.0",20.90178070059809,625855.0,5806015.0,39213
0.08861123,111.44685,0.033889744,271.22003,2024-04-01,"625865.0, 5806015.0",21.258298085501167,625865.0,5806015.0,39214
0.09447216,111.44685,0.033889744,271.22003,2024-04-01,"625875.0, 5806015.0",21.855034751325544,625875.0,5806015.0,39215
0.09938502,111.44685,0.040767945,271.22003,2024-04-01,"625885.0, 5806015.0",22.40551063176266,625885.0,5806015.0,39216
0.07403544,111.44685,0.040767945,271.22003,2024-04-01,"625895.0, 5806015.0",19.82451685615903,625895.0,5806015.0,39217
0.05301503,111.44685,0.06199286,271.22003,2024-04-01,"625905.0, 5806015.0",17.839420024197764,625905.0,5806015.0,39218
0.058038395,111.44685,0.06199286,271.22003,2024-04-01,"625915.0, 5806015.0",18.35087914097939,625915.0,5806015.0,39219
0.0815493,111.44685,0.04424848,271.22003,2024-04-01,"625925.0, 5806015.0",20.614985092146963,625925.0,5806015.0,39220
0.11365756,111.44685,0.04424848,271.22003,2024-04-01,"625935.0, 5806015.0",23.8841208808055,625935.0,5806015.0,39221
0.11159979,111.44685,0.058906518,271.22003,2024-04-01,"625945.0, 5806015.0",23.781732208833912,625945.0,5806015.0,39222
0.12119397,111.44685,0.058906518,271.22003,2024-04-01,"625955.0, 5806015.0",24.758573594845863,625955.0,5806015.0,39223
0.11667331,111.44685,0.1045926,271.22003,2024-04-01,"625965.0, 5806015.0",24.632185425366032,625965.0,5806015.0,39224
0.10531401,111.44685,0.1045926,271.22003,2024-04-01,"625975.0, 5806015.0",23.475626516097545,625975.0,5806015.0,39225
0.08520374,111.44685,0.14625144,271.22003,2024-04-01,"625985.0, 5806015.0",21.732533751852404,625985.0,5806015.0,39226
0.09719808,111.44685,0.14625144,271.22003,2024-04-01,"625995.0, 5806015.0",22.953749917267118,625995.0,5806015.0,39227
0.11438947,111.44685,0.09609936,271.22003,2024-04-01,"626005.0, 5806015.0",24.33758275574954,626005.0,5806015.0,39228
0.13062969,111.44685,0.09609936,271.22003,2024-04-01,"626015.0, 5806015.0",25.991097596407002,626015.0,5806015.0,39229
0.12137917,111.44685,0.05800764,271.22003,2024-04-01,"626025.0, 5806015.0",24.77086065632212,626025.0,5806015.0,39230
0.098889545,111.44685,0.05800764,271.22003,2024-04-01,"626035.0, 5806015.0",22.481056164860746,626035.0,5806015.0,39231
0.088198155,111.44685,0.05707394,271.22003,2024-04-01,"626045.0, 5806015.0",21.385677446732043,626045.0,5806015.0,39232
0.071152456,111.44685,0.05707394,271.22003,2024-04-01,"626055.0, 5806015.0",19.650151926395495,626055.0,5806015.0,39233
0.06992396,111.44685,0.06955364,271.22003,2024-04-01,"626065.0, 5806015.0",19.61627670275389,626065.0,5806015.0,39234
0.079797685,111.44685,0.06955364,271.22003,2024-04-01,"626075.0, 5806015.0",20.621580252833287,626075.0,5806015.0,39235
0.08607732,111.44685,0.041314095,271.22003,2024-04-01,"626085.0, 5806015.0",21.054564783101956,626085.0,5806015.0,39236
0.09563343,111.44685,0.041314095,271.22003,2024-04-01,"626095.0, 5806015.0",22.027530032584725,626095.0,5806015.0,39237
0.07397609,111.44685,0.024725012,271.22003,2024-04-01,"626105.0, 5806015.0",19.7012275340402,626105.0,5806015.0,39238
0.176178,111.44685,0.024725012,271.22003,2024-04-01,"626115.0, 5806015.0",30.107020985639856,626115.0,5806015.0,39239
0.13637039,111.44685,0.033048384,271.22003,2024-04-01,"626125.0, 5806015.0",26.114797578007174,626125.0,5806015.0,39240
0.05662074,111.44685,0.033048384,270.1328,2024-04-01,"626135.0, 5806015.0",16.50524139958257,626135.0,5806015.0,39241
0.08738444,111.44685,0.05217048,270.1328,2024-04-01,"626145.0, 5806015.0",19.777229399619426,626145.0,5806015.0,39242
0.06841656,111.44685,0.05217048,270.1328,2024-04-01,"626155.0, 5806015.0",17.84599502743668,626155.0,5806015.0,39243
0.079726316,111.44685,0.30997744,270.1328,2024-04-01,"626165.0, 5806015.0",20.88163973610493,626165.0,5806015.0,39244
0.08774715,111.44685,0.30997744,270.1328,2024-04-01,"626175.0, 5806015.0",21.69828926754292,626175.0,5806015.0,39245
0.08973273,111.44685,0.39304683,270.1328,2024-04-01,"626185.0, 5806015.0",22.507549037856666,626185.0,5806015.0,39246
0.1079934,111.44685,0.39304683,270.1328,2024-04-01,"626195.0, 5806015.0",24.3667780905018,626195.0,5806015.0,39247
0.14039077,111.44685,0.13484818,270.1328,2024-04-01,"626205.0, 5806015.0",25.778357153114495,626205.0,5806015.0,39248
0.28342146,111.44685,0.13484818,270.1328,2024-04-01,"626215.0, 5806015.0",40.34117518048581,626215.0,5806015.0,39249
0.37189043,111.44685,0.030624567,270.1328,2024-04-01,"626225.0, 5806015.0",48.58703784872741,626225.0,5806015.0,39250
0.3790166,111.44685,0.030624567,270.1328,2024-04-01,"626235.0, 5806015.0",49.31259623722511,626235.0,5806015.0,39251
0.34710523,111.44685,0.033544324,270.1328,2024-04-01,"626245.0, 5806015.0",46.08484546327792,626245.0,5806015.0,39252
0.330987,111.44685,0.033544324,270.1328,2024-04-01,"626255.0, 5806015.0",44.443751160975964,626255.0,5806015.0,39253
0.30437377,111.44685,0.051362667,270.1328,2024-04-01,"626265.0, 5806015.0",41.86431931644352,626265.0,5806015.0,39254
0.28001443,111.44685,0.051362667,270.1328,2024-04-01,"626275.0, 5806015.0",39.38414785333399,626275.0,5806015.0,39255
0.31136253,111.44685,0.04211056,270.1328,2024-04-01,"626285.0, 5806015.0",42.50827000523296,626285.0,5806015.0,39256
0.342679,111.44685,0.04211056,270.1328,2024-04-01,"626295.0, 5806015.0",45.69678887394312,626295.0,5806015.0,39257
0.27961206,111.44685,0.055333402,270.1328,2024-04-01,"626305.0, 5806015.0",39.37219945045726,626305.0,5806015.0,39258
0.10533348,111.44685,0.055333402,270.1328,2024-04-01,"626315.0, 5806015.0",21.627845098194303,626315.0,5806015.0,39259
0.08031551,111.44685,0.06285544,270.1328,2024-04-01,"626325.0, 5806015.0",19.13558783631788,626325.0,5806015.0,39260
0.061160695,111.44685,0.06285544,270.1328,2024-04-01,"626335.0, 5806015.0",17.18532048325566,626335.0,5806015.0,39261
0.058247384,111.44685,0.04892132,270.1328,2024-04-01,"626345.0, 5806015.0",16.786863996829524,626345.0,5806015.0,39262
0.059763897,111.44685,0.04892132,270.1328,2024-04-01,"626355.0, 5806015.0",16.941269340571782,626355.0,5806015.0,39263
0.057880946,111.44685,0.034177084,270.1328,2024-04-01,"626365.0, 5806015.0",16.641799456641444,626365.0,5806015.0,39264
0.056699667,111.44685,0.034177084,270.1328,2024-04-01,"626375.0, 5806015.0",16.521526310251993,626375.0,5806015.0,39265
0.055734463,111.44685,0.029064534,270.1328,2024-04-01,"626385.0, 5806015.0",16.385889023475087,626385.0,5806015.0,39266
0.058110174,111.44685,0.029064534,270.1328,2024-04-01,"626395.0, 5806015.0",16.627774502588863,626395.0,5806015.0,39267
0.08005389,111.44685,0.026476227,270.1328,2024-04-01,"626405.0, 5806015.0",18.843080583394613,626405.0,5806015.0,39268
0.069130614,111.44685,0.026476227,270.1328,2024-04-01,"626415.0, 5806015.0",17.730915909849713,626415.0,5806015.0,39269
0.04875078,111.44685,0.03181665,270.1328,2024-04-01,"626425.0, 5806015.0",15.694951381388027,626425.0,5806015.0,39270
0.06544888,111.44685,0.03181665,270.1328,2024-04-01,"626435.0, 5806015.0",17.39508574907407,626435.0,5806015.0,39271
0.06640422,111.44685,0.024926243,270.1328,2024-04-01,"626445.0, 5806015.0",17.441997531961132,626445.0,5806015.0,39272
0.076723464,111.44685,0.024926243,270.1328,2024-04-01,"626455.0, 5806015.0",18.492662061035578,626455.0,5806015.0,39273
0.050077204,111.44685,0.030164694,270.1328,2024-04-01,"626465.0, 5806015.0",15.817929629207452,626465.0,5806015.0,39274
0.05387819,111.44685,0.030164694,270.1328,2024-04-01,"626475.0, 5806015.0",16.20493096047829,626475.0,5806015.0,39275
