NDVI,AQI,Soil_Moisture,Land_Temp,Date,Coordinates,X,Y,Row_Index,Month,Year,CustomIndex,CustomIndex_Scaled,Custom_Index
0.2146742,99.465904,0.062288735,285.186,2024-06-01,"626205.0, 5802955.0",626205.0,5802955.0,108399,6,2024,0.4771413929006686,75.35883855510687,75.23482888144835
0.1487283,99.465904,0.062288735,285.186,2024-06-01,"626215.0, 5802955.0",626215.0,5802955.0,108400,6,2024,0.368779575364252,67.94817484484369,67.78687009520597
0.13796861,99.465904,0.068666615,285.186,2024-06-01,"626225.0, 5802955.0",626225.0,5802955.0,108401,6,2024,0.35120394520538134,66.74621009780925,66.57885631284655
0.13708077,99.465904,0.068666615,285.186,2024-06-01,"626235.0, 5802955.0",626235.0,5802955.0,108402,6,2024,0.3497450530516382,66.64643916938884,66.47858327496584
0.08768593,99.465904,0.062346302,285.186,2024-06-01,"626245.0, 5802955.0",626245.0,5802955.0,108403,6,2024,0.26847614647868745,61.0886093875975,60.892783031675314
0.09191989,99.465904,0.062346302,285.186,2024-06-01,"626255.0, 5802955.0",626255.0,5802955.0,108404,6,2024,0.275433358389913,61.564400205869845,61.37096832572089
0.22536018,99.465904,0.06863317,285.186,2024-06-01,"626265.0, 5802955.0",626265.0,5802955.0,108405,6,2024,0.49480458126954513,76.56679124571939,76.44886074244789
0.23418655,99.465904,0.06863317,285.186,2024-06-01,"626275.0, 5802955.0",626275.0,5802955.0,108406,6,2024,0.5093080074939033,77.55865366404039,77.4457148303006
0.17120577,99.465904,0.09773295,285.186,2024-06-01,"626285.0, 5802955.0",626285.0,5802955.0,108407,6,2024,0.4062957628441304,70.5138373210303,70.36544458315393
0.33892742,99.465904,0.09773295,285.186,2024-06-01,"626295.0, 5802955.0",626295.0,5802955.0,108408,6,2024,0.6818947437391779,89.3615404395026,89.30800108417321
0.3114905,99.465904,0.07672839,285.186,2024-06-01,"626305.0, 5802955.0",626305.0,5802955.0,108409,6,2024,0.6364660711509923,86.25475778294965,86.18558316204123
0.15030102,99.465904,0.07672839,285.186,2024-06-01,"626315.0, 5802955.0",626315.0,5802955.0,108410,6,2024,0.37160070392498035,68.1411065944422,67.98077279754791
0.21866737,99.465904,0.0769306,285.186,2024-06-01,"626325.0, 5802955.0",626325.0,5802955.0,108411,6,2024,0.48394310383974526,75.82399495031939,75.70232623339292
0.353158,99.465904,0.0769306,285.186,2024-06-01,"626335.0, 5802955.0",626335.0,5802955.0,108412,6,2024,0.7049371172419086,90.9373656240297,90.89175680262882
0.36244264,99.465904,0.06529465,285.186,2024-06-01,"626345.0, 5802955.0",626345.0,5802955.0,108413,6,2024,0.7200027105342407,91.96767360541394,91.92724993556624
0.3332634,99.465904,0.06529465,285.186,2024-06-01,"626355.0, 5802955.0",626355.0,5802955.0,108414,6,2024,0.6720555981173761,88.68865952021591,88.63173380895527
0.31760073,99.465904,0.06364975,285.186,2024-06-01,"626365.0, 5802955.0",626365.0,5802955.0,108415,6,2024,0.6462918335523586,86.92672344861415,86.86093057751063
0.34114438,99.465904,0.06364975,285.186,2024-06-01,"626375.0, 5802955.0",626375.0,5802955.0,108416,6,2024,0.6849785859576066,89.5724386888662,89.51996070489861
0.35689187,99.465904,0.06880713,285.186,2024-06-01,"626385.0, 5802955.0",626385.0,5802955.0,108417,6,2024,0.7109393396218816,91.34784647958796,91.30430345354557
0.35118642,99.465904,0.06880713,285.186,2024-06-01,"626395.0, 5802955.0",626395.0,5802955.0,108418,6,2024,0.7015641861724157,90.70669712434798,90.65992743537059
0.32600647,99.465904,0.06282303,285.186,2024-06-01,"626405.0, 5802955.0",626405.0,5802955.0,108419,6,2024,0.6600905233707375,87.87039025128541,87.80934649935404
0.30913037,99.465904,0.06282303,285.186,2024-06-01,"626415.0, 5802955.0",626415.0,5802955.0,108420,6,2024,0.6323598400541656,85.97394025453396,85.90335238489803
0.21700965,99.465904,0.051378593,285.186,2024-06-01,"626425.0, 5802955.0",626425.0,5802955.0,108421,6,2024,0.4808000334044063,75.60904619305866,75.48629572009155
0.102943465,99.465904,0.051378593,285.186,2024-06-01,"626435.0, 5802955.0",626435.0,5802955.0,108422,6,2024,0.29336731770797736,62.79087041946747,62.60361090141598
